,Train Loss
616,tensor(1.9921)
617,tensor(2.6740)
618,tensor(4.7933)
619,tensor(3.0043)
620,tensor(3.4633)
621,tensor(2.5558)
622,tensor(2.6149)
623,tensor(2.8256)
624,tensor(3.2394)
625,tensor(4.7542)
626,tensor(2.9925)
627,tensor(3.5463)
628,tensor(2.4836)
629,tensor(3.3964)
630,tensor(2.9486)
631,tensor(2.5620)
632,tensor(3.1742)
633,tensor(2.1912)
634,tensor(2.7289)
635,tensor(2.7224)
636,tensor(2.7767)
637,tensor(4.1985)
638,tensor(3.2000)
639,tensor(2.7578)
640,tensor(3.6090)
641,tensor(1.8866)
642,tensor(2.6486)
643,tensor(4.4130)
644,tensor(3.5972)
645,tensor(2.3637)
646,tensor(2.2768)
647,tensor(2.1214)
648,tensor(2.2959)
649,tensor(2.5067)
650,tensor(3.1758)
651,tensor(3.7688)
652,tensor(2.3241)
653,tensor(3.1576)
654,tensor(2.3565)
655,tensor(3.5168)
656,tensor(2.6245)
657,tensor(4.0175)
658,tensor(3.5115)
659,tensor(4.1934)
660,tensor(2.2617)
661,tensor(1.5115)
662,tensor(2.5453)
663,tensor(3.0657)
664,tensor(2.9949)
665,tensor(3.0457)
666,tensor(3.2150)
667,tensor(2.2960)
668,tensor(2.8724)
669,tensor(2.7008)
670,tensor(2.5832)
671,tensor(2.1461)
672,tensor(2.8766)
673,tensor(4.0382)
674,tensor(3.2121)
675,tensor(2.3631)
676,tensor(3.4487)
677,tensor(2.6576)
678,tensor(2.4384)
679,tensor(3.3587)
680,tensor(3.0014)
681,tensor(4.1081)
682,tensor(2.8497)
683,tensor(3.4969)
684,tensor(2.9551)
685,tensor(2.4968)
686,tensor(3.1952)
687,tensor(2.5165)
688,tensor(2.3087)
689,tensor(1.9484)
690,tensor(2.4800)
691,tensor(2.6422)
692,tensor(2.3583)
693,tensor(2.6584)
694,tensor(2.0799)
695,tensor(2.6308)
696,tensor(2.0437)
697,tensor(4.2990)
698,tensor(4.3547)
699,tensor(1.8669)
700,tensor(2.7677)
701,tensor(2.9693)
702,tensor(3.6251)
703,tensor(3.6373)
704,tensor(2.7073)
705,tensor(2.7605)
706,tensor(3.0512)
707,tensor(3.4500)
708,tensor(4.1032)
709,tensor(1.8224)
710,tensor(5.5521)
711,tensor(2.7820)
712,tensor(3.1681)
713,tensor(2.2076)
714,tensor(4.7157)
715,tensor(2.7216)
716,tensor(2.0531)
717,tensor(2.3197)
718,tensor(3.7692)
719,tensor(4.6868)
720,tensor(2.4963)
721,tensor(3.0739)
722,tensor(3.6276)
723,tensor(2.4103)
724,tensor(4.5334)
725,tensor(4.1302)
726,tensor(3.5183)
727,tensor(2.3892)
728,tensor(1.7197)
729,tensor(2.7752)
730,tensor(2.1291)
731,tensor(2.3332)
732,tensor(2.6795)
733,tensor(5.0869)
734,tensor(2.3896)
735,tensor(3.5132)
736,tensor(1.6749)
737,tensor(2.2224)
738,tensor(2.7338)
739,tensor(2.3678)
740,tensor(2.0713)
741,tensor(3.1297)
742,tensor(3.1580)
743,tensor(2.5099)
744,tensor(3.8368)
745,tensor(2.2889)
746,tensor(2.2147)
747,tensor(2.5536)
748,tensor(2.3585)
749,tensor(3.0693)
750,tensor(2.1373)
751,tensor(3.2810)
752,tensor(2.3367)
753,tensor(3.3790)
754,tensor(5.1177)
755,tensor(4.4395)
756,tensor(3.0112)
757,tensor(2.1817)
758,tensor(2.7168)
759,tensor(2.2833)
760,tensor(3.3723)
761,tensor(2.9543)
762,tensor(3.3110)
763,tensor(3.3626)
764,tensor(3.2959)
765,tensor(3.1490)
766,tensor(2.5654)
767,tensor(3.3815)
768,tensor(3.3029)
769,tensor(3.7449)
770,tensor(2.6189)
771,tensor(3.2840)
772,tensor(3.7881)
773,tensor(1.8419)
774,tensor(3.8593)
775,tensor(3.0021)
776,tensor(2.8010)
777,tensor(2.2399)
778,tensor(3.5217)
779,tensor(2.5236)
780,tensor(2.6027)
781,tensor(2.5244)
782,tensor(1.9243)
783,tensor(3.1193)
784,tensor(5.6940)
785,tensor(3.7052)
786,tensor(3.3584)
787,tensor(2.1537)
788,tensor(2.5619)
789,tensor(3.1567)
790,tensor(5.0581)
791,tensor(4.6723)
792,tensor(1.9631)
793,tensor(2.5523)
794,tensor(2.9880)
795,tensor(3.5074)
796,tensor(3.4358)
797,tensor(2.9642)
798,tensor(2.6168)
799,tensor(2.0268)
800,tensor(2.2490)
801,tensor(3.6147)
802,tensor(2.1140)
803,tensor(3.2587)
804,tensor(2.5075)
805,tensor(4.3692)
806,tensor(3.6356)
807,tensor(3.3154)
808,tensor(2.5755)
809,tensor(3.3394)
810,tensor(3.4002)
811,tensor(2.5637)
812,tensor(3.7071)
813,tensor(2.3874)
814,tensor(2.6327)
815,tensor(3.1748)
816,tensor(2.2434)
817,tensor(3.3835)
818,tensor(3.5101)
819,tensor(2.4164)
820,tensor(4.1964)
821,tensor(3.6242)
822,tensor(2.9177)
823,tensor(3.4270)
824,tensor(3.2563)
825,tensor(4.0131)
826,tensor(2.5885)
827,tensor(2.5469)
828,tensor(3.2791)
829,tensor(2.1491)
830,tensor(3.2443)
831,tensor(2.5983)
832,tensor(4.6697)
833,tensor(3.4253)
834,tensor(2.5454)
835,tensor(2.6813)
836,tensor(2.6919)
837,tensor(3.8511)
838,tensor(3.6021)
839,tensor(3.8517)
840,tensor(3.1643)
841,tensor(2.0480)
842,tensor(2.6302)
843,tensor(2.9241)
844,tensor(2.2770)
845,tensor(2.6874)
846,tensor(2.2737)
847,tensor(2.6625)
848,tensor(4.4300)
849,tensor(2.9056)
850,tensor(1.9130)
851,tensor(4.4299)
852,tensor(2.0312)
853,tensor(3.0478)
854,tensor(1.9119)
855,tensor(2.5892)
856,tensor(2.7844)
857,tensor(1.8805)
858,tensor(3.1629)
859,tensor(2.8026)
860,tensor(4.2461)
861,tensor(3.3372)
862,tensor(3.0064)
863,tensor(3.4757)
864,tensor(2.3418)
865,tensor(2.8218)
866,tensor(2.2673)
867,tensor(2.7623)
868,tensor(2.5012)
869,tensor(2.7190)
